               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.051941,            0.071571,            0.027458,             0.62854,             0.47188,             0.51245,              0.3224,            0.045411,             0.05079,             0.01869,            0.008812,            0.008812,            0.008812
                  38,            0.051921,            0.071545,            0.027392,             0.62648,             0.47219,             0.51205,             0.32236,            0.045409,            0.050788,            0.018685,            0.008779,            0.008779,            0.008779
                  39,            0.051903,            0.071439,            0.027448,             0.62679,             0.47304,             0.51256,             0.32285,            0.045408,            0.050782,            0.018675,            0.008746,            0.008746,            0.008746
                  40,            0.051933,            0.071605,            0.027375,             0.62509,             0.47326,             0.51276,               0.323,            0.045405,            0.050779,            0.018669,            0.008713,            0.008713,            0.008713
                  41,            0.051897,            0.071202,            0.027472,             0.62445,             0.47139,             0.51282,             0.32361,            0.045398,            0.050775,            0.018664,             0.00868,             0.00868,             0.00868
                  42,            0.051908,             0.07165,            0.027363,             0.62496,             0.47083,             0.51269,             0.32353,             0.04539,            0.050773,            0.018659,            0.008647,            0.008647,            0.008647
                  43,            0.051786,            0.071077,            0.027381,             0.63188,             0.46872,             0.51316,             0.32352,            0.045379,            0.050763,            0.018654,            0.008614,            0.008614,            0.008614
                  44,            0.051805,            0.071508,            0.027272,             0.62941,             0.47106,             0.51295,             0.32362,            0.045368,             0.05075,            0.018651,            0.008581,            0.008581,            0.008581
                  45,            0.051749,            0.071287,            0.027234,             0.62985,             0.47013,             0.51347,               0.324,            0.045362,            0.050737,            0.018645,            0.008548,            0.008548,            0.008548
                  46,            0.051703,            0.071366,            0.027233,             0.63168,             0.47116,             0.51398,              0.3243,            0.045359,            0.050732,            0.018638,            0.008515,            0.008515,            0.008515
                  47,             0.05173,            0.071091,            0.027306,             0.62582,             0.47385,             0.51397,             0.32422,            0.045356,            0.050733,            0.018632,            0.008482,            0.008482,            0.008482
                  48,            0.051656,            0.071034,            0.027235,             0.62693,             0.47283,             0.51415,             0.32435,            0.045352,             0.05073,             0.01863,            0.008449,            0.008449,            0.008449
                  49,            0.051728,            0.071372,            0.027226,             0.62914,             0.47228,             0.51456,             0.32458,            0.045347,             0.05073,            0.018618,            0.008416,            0.008416,            0.008416
                  50,            0.051741,            0.071225,            0.027159,             0.63431,             0.46996,             0.51456,              0.3247,            0.045337,            0.050722,            0.018607,            0.008383,            0.008383,            0.008383
                  51,            0.051708,            0.071032,            0.027185,               0.629,             0.47136,             0.51474,             0.32484,            0.045329,            0.050715,            0.018598,             0.00835,             0.00835,             0.00835
                  52,            0.051683,            0.071101,             0.02727,             0.62554,              0.4738,             0.51502,             0.32476,            0.045321,            0.050704,            0.018591,            0.008317,            0.008317,            0.008317
                  53,            0.051679,            0.071438,               0.027,             0.62535,             0.47438,             0.51514,             0.32548,            0.045313,              0.0507,            0.018583,            0.008284,            0.008284,            0.008284
                  54,            0.051652,            0.071395,            0.027036,             0.62604,             0.47417,             0.51497,             0.32573,            0.045304,            0.050693,            0.018567,            0.008251,            0.008251,            0.008251
                  55,            0.051588,            0.071352,            0.027005,             0.62519,             0.47489,             0.51519,             0.32571,            0.045297,             0.05068,            0.018554,            0.008218,            0.008218,            0.008218
                  56,            0.051679,            0.071501,            0.027094,             0.62595,             0.47395,             0.51551,             0.32628,            0.045282,            0.050675,            0.018548,            0.008185,            0.008185,            0.008185
                  57,            0.051639,            0.071185,            0.026925,             0.62802,             0.47373,             0.51576,             0.32628,            0.045275,            0.050665,            0.018537,            0.008152,            0.008152,            0.008152
                  58,            0.051546,            0.071043,            0.027028,             0.62695,             0.47492,             0.51591,             0.32633,            0.045261,            0.050657,            0.018516,            0.008119,            0.008119,            0.008119
                  59,            0.051592,            0.070876,            0.026963,             0.62716,               0.475,             0.51609,             0.32623,            0.045255,            0.050653,            0.018504,            0.008086,            0.008086,            0.008086
                  60,            0.051553,            0.071113,            0.026944,             0.62607,             0.47705,              0.5165,             0.32654,            0.045248,            0.050643,            0.018491,            0.008053,            0.008053,            0.008053
                  61,            0.051438,            0.071091,            0.026979,              0.6242,              0.4778,             0.51704,             0.32683,            0.045236,            0.050638,            0.018483,             0.00802,             0.00802,             0.00802
                  62,            0.051562,            0.071184,            0.026827,             0.62787,             0.47661,             0.51714,             0.32663,            0.045226,            0.050646,            0.018469,            0.007987,            0.007987,            0.007987
                  63,            0.051387,            0.070704,            0.026776,             0.62861,             0.47673,             0.51735,             0.32691,            0.045217,            0.050643,            0.018449,            0.007954,            0.007954,            0.007954
