               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11294,            0.038681,            0.045632,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,              0.0892,              0.0012,              0.0012
                   1,             0.09066,            0.043213,            0.042347,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.077492,           0.0024918,           0.0024918
                   2,            0.071738,            0.038347,            0.038333,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.065775,           0.0037749,           0.0037749
                   3,            0.064294,            0.038604,             0.03693,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.05405,           0.0050495,           0.0050495
                   4,             0.05862,            0.036212,            0.032387,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.042316,           0.0063155,           0.0063155
                   5,            0.056894,            0.033416,            0.028079,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.030573,            0.007573,            0.007573
                   6,            0.058758,            0.035081,            0.026257,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.018822,           0.0088218,           0.0088218
                   7,            0.060834,            0.030181,            0.020785,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009769,            0.009769,            0.009769
                   8,            0.054268,            0.031593,            0.018349,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009769,            0.009769,            0.009769
                   9,            0.056201,            0.032203,            0.017438,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009736,            0.009736,            0.009736
                  10,            0.053716,              0.0288,             0.01254,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009703,            0.009703,            0.009703
                  11,            0.054975,            0.027205,            0.010431,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00967,             0.00967,             0.00967
                  12,            0.056077,            0.030429,            0.010068,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009637,            0.009637,            0.009637
                  13,            0.054675,            0.027629,            0.010498,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009604,            0.009604,            0.009604
                  14,            0.050347,            0.030849,           0.0085993,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009571,            0.009571,            0.009571
                  15,            0.052177,            0.030446,           0.0099234,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009538,            0.009538,            0.009538
                  16,             0.04854,            0.028505,             0.01331,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009505,            0.009505,            0.009505
                  17,            0.045318,            0.026447,            0.010026,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009472,            0.009472,            0.009472
                  18,            0.049714,            0.030219,            0.012362,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009439,            0.009439,            0.009439
                  19,            0.046367,            0.027626,           0.0099946,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009406,            0.009406,            0.009406
                  20,            0.043782,            0.028268,            0.011227,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009373,            0.009373,            0.009373
                  21,            0.045123,            0.028373,            0.011132,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00934,             0.00934,             0.00934
                  22,            0.044051,            0.028275,           0.0067448,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009307,            0.009307,            0.009307
                  23,            0.047449,            0.028344,           0.0097935,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009274,            0.009274,            0.009274
                  24,            0.042986,             0.02822,           0.0070682,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009241,            0.009241,            0.009241
                  25,            0.043453,            0.027417,            0.008946,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009208,            0.009208,            0.009208
                  26,            0.039509,            0.027065,            0.005934,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009175,            0.009175,            0.009175
                  27,            0.041157,            0.026184,           0.0067052,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009142,            0.009142,            0.009142
                  28,            0.041615,            0.025909,           0.0065734,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009109,            0.009109,            0.009109
                  29,            0.039945,            0.024946,           0.0052473,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009076,            0.009076,            0.009076
                  30,            0.042205,            0.026952,           0.0067877,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009043,            0.009043,            0.009043
                  31,            0.038617,            0.027276,           0.0052885,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00901,             0.00901,             0.00901
                  32,            0.041849,            0.026419,           0.0056004,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008977,            0.008977,            0.008977
                  33,            0.037798,             0.02684,           0.0077328,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008944,            0.008944,            0.008944
                  34,            0.038345,            0.025991,           0.0067808,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008911,            0.008911,            0.008911
                  35,            0.039315,            0.024541,           0.0061308,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008878,            0.008878,            0.008878
                  36,            0.039388,            0.028654,           0.0074573,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008845,            0.008845,            0.008845
                  37,            0.035864,            0.023995,           0.0063148,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008812,            0.008812,            0.008812
                  38,            0.036724,            0.025079,            0.006312,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008779,            0.008779,            0.008779
                  39,            0.039025,            0.025733,            0.005736,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008746,            0.008746,            0.008746
                  40,            0.037763,            0.024267,           0.0058541,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008713,            0.008713,            0.008713
                  41,            0.036148,            0.024071,           0.0060807,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00868,             0.00868,             0.00868
                  42,            0.038828,            0.024826,           0.0068697,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008647,            0.008647,            0.008647
                  43,            0.035875,            0.026835,           0.0074991,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008614,            0.008614,            0.008614
                  44,             0.03424,            0.024485,           0.0063725,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008581,            0.008581,            0.008581
                  45,            0.037289,            0.023333,            0.007556,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008548,            0.008548,            0.008548
                  46,            0.039723,            0.024372,           0.0084807,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008515,            0.008515,            0.008515
                  47,            0.035007,            0.024888,           0.0044284,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008482,            0.008482,            0.008482
                  48,            0.036124,            0.024131,           0.0063758,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008449,            0.008449,            0.008449
                  49,            0.037249,              0.0243,           0.0066106,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008416,            0.008416,            0.008416
                  50,            0.037598,            0.025994,           0.0059635,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008383,            0.008383,            0.008383
                  51,            0.035387,            0.025217,           0.0093812,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00835,             0.00835,             0.00835
                  52,            0.032473,             0.02436,           0.0047278,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008317,            0.008317,            0.008317
                  53,            0.035327,            0.024519,            0.008375,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008284,            0.008284,            0.008284
                  54,            0.035355,             0.02437,            0.004596,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008251,            0.008251,            0.008251
